naslov,avtor,dolzina,zvrst,o_pisatelju
Bog mi je priča,Makis Citas,240,roman,"Gr&scaron;ki pisatelj Makis Citas (1971) je &scaron;tudiral novinarstvo v Solunu, nato pa delal na radijski postaji. Objavil je zbirko kratkih zgodb <em>Patty od Petrula </em>(1996) in petnajst knjig za otroke, pi&scaron;e tudi drame in pesmi. <em>Bog mi je priča</em> iz leta 2013 je njegov prvi roman. Njegova dela so bila prevedena v &scaron;tevilne jezike, mdr. v nem&scaron;čino, &scaron;pan&scaron;čino, angle&scaron;čino, hebrej&scaron;čino, &scaron;ved&scaron;čino, polj&scaron;čino in fin&scaron;čino. Od leta 1994 živi in dela v Atenah."
Kvinkus ali Razparačeva zgodba,Lawrence Durrell,252,roman,"Lawrence Durrell (1912-;1990) je eden najslavnej&scaron;ih in najbolje prodajanih angle&scaron;kih romanopiscev poznega 20. stoletja. Rojen je bil v Indiji, v &scaron;olo pa je bil poslan v Anglijo, kjer, vajen raznolikih vplivov Orienta, ni zdržal, zato je mater prepričal, da se z družino preselijo na otok Krf. V Grčiji je ostal do druge svetovne vojne, med katero je s čolnom zbežal na Kreto in od tam v Egipt. V Kairu in Aleksandriji je ostal do konca vojne in tam opravljal službo tiskovnega diplomata pri angle&scaron;kem &scaron;tabu za Srednji vzhod. Rezultat vtisov iz severne Afrike, Sredozemlja in Male Azije je&nbsp;<em>Aleksandrijski kvartet</em>, ki ga je napisal mnogo let pozneje, v &scaron;estdesetih letih prej&scaron;njega stoletja, ko je živel v Franciji, in sicer v Languedocu v vasici Sommi&egrave;res, kjer je ustvaril tudi&nbsp;<em>Avignonski kvintet</em>."
Ura resnice,Milan Kleč,198,roman,"Milan Kleč (1954)&nbsp;je eden najbolj plodovitih sodobnih slovenskih avtorjev, poznan je kot izvrsten prozni fabulator in kronist vsakdanjega življenja. Prejel je nagrado <em>zlata ptica </em>(1982)&nbsp;in sedem sekretarjev SKOJA (1989)&nbsp;ter istega leta, tj. 1989, tudi Župančičevo nagrado. Leta 2006 je prejel tudi nagrado Pre&scaron;ernovega sklada za književnost."
Beli volk,Irena Svetek,380,roman,"<strong>Irena Svetek</strong> (1975) je doktorirala na Oddelku za primerjalno književnost in literarno teorijo na Filozofski fakulteti v Ljubljani. Za prvi roman <em>Od blizu </em>je leta 2004 prejela nagrado Slovenskega knjižnega sejma za prvenec in nominacijo za kresnika. Napisala je &scaron;e romana <em>Sedmi val </em>(2008) in <em>Zaspi, mala moja, zaspi </em>(2014), zadnja leta pa se ukvarja predvsem s scenaristiko; napisala je scenarije za celovečerni film, kratke filme, več nanizank in nadaljevank. Leta 2021 je izdala <em>Rdečo kapico</em>, prvo v seriji psiholo&scaron;kih kriminalk, ki je postala uspe&scaron;nica, po njej je napisala tudi scenarij za televizijsko serijo. Drugi roman iz serije je <em>Beli volk </em>(2022) in ga prav tako pričakujemo na malih zaslonih. <em>Črni princ</em> v velikem slogu zaključuje trilogijo."
Ubežnica,Marcel Proust,424,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
Nepočesane misli,Emil Filipčič,276,roman,"Emil Filipčič (1951) je slovenski pisatelj, pesnik, igralec, režiser in imitator, ki se je rodil v Beogradu. &Scaron;tudiral je na AGRFT, s svojimi deli pa se je uveljavil kot izjemno provokativen in unikaten avtor. Za roman Problemi (&Scaron;tudentska založba) je prejel nagrado Pre&scaron;ernovega sklada."
Ženska s srebrnim očesom,Katarina Marinčič,160,roman,"Katarina Marinčič (1968) je pisateljica, literarna zgodovinarka, prevajalka in profesorica na Filozofski fakultetiv Ljubljani. Njen pisateljski opus obsega romane <em>Tereza</em>, <em>Rožni vrt</em>, <em>Prikrita harmonija</em> (nagrada kresnik 2002) in <em>Po njihovih besedah</em> (nagrada kriti&scaron;ko sito 2015) ter zbirko novel <em>O treh</em> (nagrada Dnevnikova fabula 2007). Roman <em>Prikrita harmonija</em> je doslej iz&scaron;el v nem&scaron;kem jeziku, roman <em>Po njihovih besedah</em> v romun&scaron;čini, zbirka <em>O treh</em> v makedon&scaron;čini in franco&scaron;čini. Kot avtorica spremnih besed je sodelovala pri &scaron;tevilnih slovenskih izdajah francoskih klasikov. Iz franco&scaron;čine je med drugim prevedla delo Paula Veyna <em>Kako je na&scaron; svet postal kr&scaron;čanski</em>, mladostno zbirko Marcela Prousta <em>Radosti in dnevi</em> ter njegovih <a href=https://beletrina.si/knjiga/petinsedemdeset-listov><em>Petinsedemdeset&nbsp;listov</em></a>, ki so iz&scaron;li pred kratkim."
Tisto,Stephen King,1390,roman,"Stephen E. King (1947) je kultni ameri&scaron;ki romanopisec in avtor kratkih zgodb, najbolj priljubljen pisatelj v žanru grozljivk s 350 milijoni prodanih knjig po vsem svetu, večino so jih prenesli na filmska platna in televizijske ekrane. Z neverjetno domi&scaron;ljijo in mojstrskim načinom napetega pripovedovanja opisuje domala vse plati člove&scaron;kih strahov in groze, s katerimi se v zapletenih in zahtevnih okoli&scaron;činah soočajo junaki z natančno psiholo&scaron;ko izdelanimi značajskimi potezami. Kingove pripovedi z realističnimi detajli in prepričljivimi zgodbami pritegnejo bralčevo pozornost in ga posrkajo v globine, ki jih globoko zakopane v podzavest v sebi nosi vsak od nas."
Ozka pot globoko do severa,Richard Flanagan,540,roman,"Richard Flanagan (1961, Longford, Avstralija) je poročen s potomko slovenskih emigrantov na Tasmanijo, s Slovenijo ga poleg te srčne povezujejo &scaron;e &scaron;tevilne prijateljske vezi. Za svoja leposlovna dela je prejel &scaron;tevilne nagrade, nazadnje je za roman<em> Ozka pot globoko do severa</em> prejel ugledno nagrado man booker. Slovenski bralci so ga spoznali preko romanov <em>Plosk ene dlani, Smrt rečnega vodnika in Neznana teroristka.</em>"
Napalm v srcu,Pol Guasch,272,roman,"Pol Guasch (1997) je katalonski pesnik in pisatelj. Na King&rsquo;s Collegeu v Londonu je zaključil magisterij iz sodobne književnosti, kulture in teorije, trenutno pa se ukvarja s svojo doktorsko disertacijo o ljubezni in poetiki na Univerzi v Barceloni. Je avtor pesni&scaron;kih zbirk <em>Tanta grana</em> in <em>La part del foc</em>, s svojo poezijo je sodeloval na mednarodnih pesni&scaron;kih branjih od Južne Afrike do &Scaron;vice in Nemčije. Redno se udeležuje tudi pisateljskih<br />
rezidenc. Z romanesknim prvencem <em>Napalm v srcu</em> je leta 2021 pri 24 letih postal najmlaj&scaron;i dobitnik nagrade za najbolj&scaron;i roman Llibres Anagrama,<br />
roman pa je bil preveden že v več jezikov, pripravljajo ga tudi za gledali&scaron;če in film."
Marpurgi,Zlata Vokač Medic,332,roman,"Zlata Vokač Medic (1926-;1995) je diplomirala iz svetovne književnosti in ruskega jezika s književnostjo, nato pa na področju literature tudi magistrirala in doktorirala. V Mariboru je bila profesorica ruske književnosti, med drugim na Pedago&scaron;ki akademiji. Ob raziskovanju literature se je ukvarjala s pisanjem. Njena najbolj znana dela so Marpurgi, Knjiga senc in Prvo potovanje Mačka Čunje. Prejela je Glazerjevo nagrado za življenjsko delo."
"Cigan, ampak najlepši",Kristian Novak,572,roman,"Kristian Novak (1979) je eden najbolj znanih hrva&scaron;kih pisateljev, njegov roman<em>&nbsp;Črna mati zemla</em>&nbsp;je bil deležen velikega bralskega navdu&scaron;enja v celotni južnoevropski regiji, tudi med slovenskimi bralkami in bralci. Po njegovi literarni predlogi v režiji Roka Bička trenutno nastaja celovečerni film. Roman&nbsp;<em>Cigan, ampak najlep&scaron;i</em>, ki je sledil&nbsp;<em>Črni materi zemli</em>, je prav tako prejel najuglednej&scaron;e hrva&scaron;ke literarne nagrade, bil razgla&scaron;en za roman leta ter po mnenju &scaron;tevilnih &scaron;e presegel predhodnika; Novak pa se je z njim zapisal v kanon sodobne hrva&scaron;ke književnosti. V režiji Ivice Buljana je doživel premiero na odru Zagreb&scaron;kega narodnega gledali&scaron;ča, leta 2020 bomo prevod končno dobili tudi v sloven&scaron;čini, avtor pa bo v okviru festivala Fabula obiskal Ljubljano in Novo Gorico.&nbsp;"
"Črna, ki je pogoltnila vse druge barve",Josip Osti,322,roman,"Josip Osti (1945-;2021) je bil pesnik, pisatelj, esejist, antologist, prevajalec in literarni kritik. Napisal je več proznih del in pesni&scaron;kih zbirk, njegov opus pa je, kot je opisal sam, ustvarjen iz jezikov spominov. Prevedel je okoli 90 knjig in 15 gledali&scaron;kih besedil slovenskih avtorjev ter uredil vrsto antologij slovenske poezije v hrva&scaron;čini. Za svoja dela, ki so prevedena v več tujih jezikov, je prejel je vrsto literarnih nagrad, med njimi Župančičevo listino, zlato ptico, nagrado Vilenica in Župančičevo nagrado."
V senci zločina,Helena Henschen,330,roman,"Helena Henschen (1940&minus;2011)&nbsp;se je rodila v Stockholmu, kjer je vse svoje poklicno življenje delala kot grafična oblikovalka. Bila je tudi ena izmed ustanoviteljic modne znamke <em>Mah</em>-<em>Jong</em>. Kot pisateljica je debitirala pozno, leta 2004, z romanom <em>V senci zločina</em>, za katerega je leta 2009 prejela nagrado Evropske unije. Umrla je nepričakovano, leta 2011, sredi pisanja svojega tretjega romana. Napisala in ilustrirala je tudi nekaj knjig za otroke."
Dežela pozabe,Sergej Lebedjev,346,roman,"Sergej Lebedjev (1981) ruski geolog, esejist, novinar in pisatelj se je sedem let udeleževal &scaron;tevilnih ekspedicij na severu Rusije in v osrednji Aziji. Tam ga je začela zanimati zgodovina gulagov, zato je to tudi pogosta tema njegovega romanopisja, &scaron;e posebno vidna v prvencu Dežela pozabe (2010), ki je bil uvr&scaron;čen med 10 najbolj&scaron;ih romanov po izboru časopisa Wall Street Journal. Lebedjeva v njegovem literarnem ustvarjanju zanima, kak&scaron;ne posledice ima ruska preteklost za ljudi sedanjosti, kako spomin re&scaron;iti pred pozabo. Objavil je &scaron;e &scaron;tiri romane, ki so jih prevedli v več kot dvajset jezikov. Živi in dela v Berlinu."
Ničla,Hanif Kureishi,160,roman,"Hanif Kureishi (1954) je danes zagotovo eno najpomembnej&scaron;ih imen sodobne britanske proze. Zaslovel je že z romanesknim prvencem <em>Buda iz predmestja</em> (1990), prevedenim v več kot dvajset jezikov, leta 1999 iz&scaron;el tudi v sloven&scaron;čini. V sloven&scaron;čini lahko beremo tudi <em>Intimnost</em>, <em>Mavrično znamenje in druge spise</em>, dramo <em>Primestje</em>, <em>Črni album</em>, <em>Nekaj ti moram povedati</em>, <em>Polnoč ves dan</em>, <em>Telo</em> in <em>Zadnja beseda</em>. Kureishi je tudi plodovit in uspe&scaron;en dramatik in scenarist. Za svoja dela je prejel vrsto nagrad, med drugimi nagrado Whitbread za najbolj&scaron;i prvi roman in nominacijo za oskarja za scenarij filma <em>Moja čudovita pralnica</em>."
Sijanje,Stephen King,572,roman,"Stephen E. King (1947) je kultni ameri&scaron;ki romanopisec in avtor kratkih zgodb, najbolj priljubljen pisatelj v žanru grozljivk s 350 milijoni prodanih knjig po vsem svetu, večino so jih prenesli na filmska platna in televizijske ekrane. Z neverjetno domi&scaron;ljijo in mojstrskim načinom napetega pripovedovanja opisuje domala vse plati člove&scaron;kih strahov in groze, s katerimi se v zapletenih in zahtevnih okoli&scaron;činah soočajo junaki z natančno psiholo&scaron;ko izdelanimi značajskimi potezami. Kingove pripovedi z realističnimi detajli in prepričljivimi zgodbami pritegnejo bralčevo pozornost in ga posrkajo v globine, ki jih globoko zakopane v podzavest v sebi nosi vsak od nas."
Tehtnica,Don DeLillo,616,roman,"Don DeLillo (1936) je ameri&scaron;ki pisatelj, dramatik, scenarist in esejist, avtor sedemnajstih romanov in prejemnik &scaron;tevilnih nagrad, med njimi tudi nagrade National Book za roman Beli &scaron;um, nagrade PEN/Faulkner za roman Mao II, in medalje Williama Deana Howellsa za najbolj&scaron;i roman preteklih petih let za roman Podzemlje. V njegovih delih so pogosto prisotni kritika konformističnih sistemov, poglobljena &scaron;tudija ideolo&scaron;kih konfliktov, satirični pogled na akademski svet in sodobno družino, zaznamuje pa jih tudi vpra&scaron;anje nasilja, njegovi učinki in pomen za družbo. V sloven&scaron;čino imamo že prevedena njegova romana Beli &scaron;um in Kozmopolis."
Bojevniki,Cristina Garcia Morales,120,roman,"Cristina Morales (1985) je eden najbolj inovativnih, radikalnih in izrazitih glasov sodobne &scaron;panske književnosti, po poklicu pa diplomirana pravnica in politologinja ter specialistka za mednarodne odnose. Avtorica, ki ima za seboj &scaron;tiri romane (Los combatientes -; Bojevniki, &Uacute;ltimas tardes con Teresa de Jes&uacute;s -; Zadnji večeri s Terezijo Jezusovo, Terroristas modernos -; Sodobni teroristi in Lectura f&aacute;cil -; Lahkotno branje) ter zbirko kratkih zgodb La merienda de las ni&ntilde;as (Dekli&scaron;ki popoldanski prigrizek), je znana po svoji ostri kritiki družbenih, političnih in medijskih struktur ter ideologij. Za svoja dela je prejela mnogo nacionalnih in mednarodnih nagrad, leta 2021 pa jo je ugledna literarna revija Granta razglasila za najbolj&scaron;o mlado &scaron;pansko prozaistko. Ob svojem literarnem ustvarjanju deluje tudi na področju gledali&scaron;ča, plesa in glasbe; sodeluje s sodobnim plesnim kolektivom Sexual Femenina in je izvr&scaron;na producentka punk skupine At-Asko."
Sodoma in Gomora,Marcel Proust,808,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
Razvejenje,Richard Powers,748,roman,"Richard Powers (1957) je ameri&scaron;ki pisatelj, avtor &scaron;tevilnih romanov, esejev in kratkih zgodb. Prepoznaven je po svojih epskih romanih, ki vključujejo elemente znanstvene fantastike in spekulativne fikcije. Roman Razvejenje je leta 2019 prejel Pulitzerjevo nagrado, zgodbo pa naj bi David Benioff in D. B. Weiss, slavna scenarista televizijske priredbe Igre prestolov, adaptirala tudi za Netflix serijo."
Ristanc,Julio Cortazar,816,roman,"Julio Cort&aacute;zar (1914 -; 1984) se je rodil v Elsenu v Belgiji. Pisal je romane, kratke zgodbe in eseje. Klasik svetovne književnosti in kultni avtor 20. stoletja je odločilno vplival na celotno generacijo &scaron;pansko govorečih pisateljev in bralcev v Latinski Ameriki, ZDA in Evropi. Za svoja dela je prejel več nagrad, med njimi prix m&eacute;dicis leta 1974."
Pieter Bruegel: tako sem vas zaslutil iz vaših del,Felix Timmermans,284,roman,"Leopold Maximiliaan Felix Timmermans (1886-;1947), flamski pisatelj, pesnik in slikar, je bil kar trikrat nominiran za Nobelovo nagrado. Zaslovel je zlasti z romani in literariziranimi biografijami, knjige pa je dostikrat tudi ilustriral. Osrednja tema njegovih romanov sta neomajna vera malega človeka in pripadnost tradiciji ter domačemu okolju. Največji uspeh je požel s prvencem Palliter, ki je v primerjavi z drugimi flamskimi romani z začetka 20. stoletja poln živahne energije in topline ter humorja. Od literariziranih biografij sta njegovi najpomembnej&scaron;i o Pietru Brueglu in Franči&scaron;ku Asi&scaron;kem."
Leto smrti Ricarda Reisa,Jose Saramago,534,roman,"Jos&eacute; Saramago (1922 -; 2010) se je rodil v Azinhagi na Portugalskem. Bil je pisatelj, dramatik, novinar in kolumnist. Napisal je več kot trideset literarnih del. Leta 1998 je prejel Nobelovo nagrado za književnost."
Nekaj zapisanega,Emanuele Trevi,276,roman,"Emanuele Trevi (1964) je literarni kritik in pisatelj. Njegov prozni prvenec je delo I cani del nula. Bil je kreativni direktor založbe Fazi, v založbi Quiritta urednik zbirke, za druge založbe je urejal različna dela. Pi&scaron;e za radio, revije in časopise. Dobil je več literarnih nagrad: nagrado Napoli za Il libro della gioia perpetua; nagrado Viareggio za Sogni e favole. Za Nekaj zapisanega je dobil nagrado EU za književnost, isto delo je bilo nominirano za nagrado Strega."
Đorđić se vrača,Goran Vojnović,340,roman,"Goran Vojnović (1980) je avtor uspe&scaron;nic <em>Čefurji raus!</em>, <em>Đorđić se vrača</em>,&nbsp;<em>Jugoslavija, moja dežela</em> in <em>Figa</em>, trikratni kresnikov nagrajenec, prejemnik drugih slovenskih in mednarodnih priznanj, med drugim prestižne literarne nagrade angelus (2020). Vojnović je eden najbolj priljubljenih slovenskih pisateljev, tudi režiser, scenarist, kolumnist."
